,ISBN
166,9791186825297
167,9791138013031
168,9791190314152
169,9791188554584
170,9788937429859
171,9791189571726
172,9791167790989
173,9788956609959
174,9788954641630
175,9788984374386
176,9788934972204
177,9788936438609
178,9791185578491
179,9791126449545
180,9791188710348
181,9791167030313
182,9788954618380
183,9791127864064
184,9791136291288
185,9791197021688
186,9791131594100
187,9788954685641
188,9788934967323
189,9788934967354
190,9788934967347
191,9788960174115
192,9791138410618
193,9791138410380
194,9791136822062
195,9788925578323
196,9791196517199
197,9788937460944
198,9788925538297
199,9791166686603
200,9791189228361
201,9788954684606
202,9791190157407
203,9791167790903
204,9788959528158
205,9788950976705
206,9791190090575
207,9788934967361
208,9788934967385
209,9788934967330
210,9788936424749
211,9791191247190
212,9791138408578
213,9791127864446
214,9791163635697
215,9791160262827
216,9791163025825
217,9788963719917
218,9788954651820
219,9788983928207
220,9788972976196
221,9788983928450
222,9788937460432
223,9788937462849
224,9791170400813
225,9791157284368
226,9788936471002
227,9788954675604
228,9788954681155
229,9791190157346
230,9791191043532
231,9791167790910
232,9791190090391
233,9788952776044
234,9788934967378
235,9788936424732
236,9791190999090
237,9791170521310
238,9788937409172
239,9788954684798
240,9788960907355
241,9788932909349
242,9788934967576
243,9788994077468
244,9791167900821
245,9791155812662
246,9788950999940
247,9788972754824
248,9788932001258
249,9788937473166
250,9791196554866
251,9788937442322
252,9791138011693
253,9791196914806
254,9788972750031
255,9791138408400
256,9791191174007
257,9788936424695
258,9791166686702
259,9788932922096
260,9788937409165
261,9791190157513
262,9791191193473
263,9791195847488
264,9788992711937
265,9791136822055
266,9788931022728
267,9791127864491
268,9788954682749
269,9788960907003
270,9788990982704
271,9791192097060
272,9791162203392
273,9788954673105
274,9788937460036
275,9788901248202
276,9788937460135
277,9788931010831
278,9788954624862
279,9788936438715
280,9791187011750
281,9788937463822
282,9788937420443
283,9788936424701
284,9791164452880
285,9788960174122
286,9791189467364
287,9791157956357
288,9791158886356
289,9788934975106
290,9791191922035
291,9791167371652
292,9791197414299
293,9791163025832
294,9788954619578
295,9791188862290
296,9788986836240
297,9788954625586
298,9791164450084
299,9791161570341
300,S000832736970
301,9788998274412
302,9788954643306
303,9788950999957
304,9788936459574
305,9788937473074
306,9788937444708
307,9788954685146
308,9788993094435
309,9791159039690
310,9788937479793
311,9791190473767
312,9788983947574
313,9788932922102
314,9772508333003
315,9791138408677
316,9791170520733
317,9791186372937
318,9788954686242
319,9788959139309
320,9788995501474
321,9791160262780
322,9788936434496
323,9788937460258
324,9788988027400
325,9788956057842
326,9791136741356
327,9788952791160
328,9788974744052
329,9791162203620
330,9791189015381
331,9788936477936
332,9788937463945
333,9788991418103
334,9791155519776
335,9791187011767
336,9791190533096
337,9791186372890
338,9788901166223
339,9788954670319
340,9788937442568
341,9791166815386
342,9791188451159
343,9788932028415
344,9788936424718
345,9791160269246
346,9791197808777
347,9788937442537
348,9791138410670
349,9791166832512
350,9791166832529
351,9788930107365
352,9791190749404
353,9791138410397
354,9791168949751
355,9788973374939
356,9788936456221
357,9788998274795
358,9788938201010
359,9791136734518
360,9791158887544
361,9791164050277
362,9788932003979
363,9788952227829
364,9788998274931
365,9788954684736
366,9788956607030
367,9788937486067
368,9791159036514
369,9791165300005
370,9788937461187
371,9791196814342
372,9788991290167
373,9791190224154
374,9788932030395
375,9791157107223
376,9788937442339
377,9791138010740
378,9788932037479
379,9788937489105
380,9791190533119
381,9788954614443
382,9788983927767
383,9788954639651
384,9791136278630
385,9791161571089
386,9788984374409
387,9788954685733
388,9791191744125
389,9788954438254
390,9788970125220
391,9791138410571
392,9791191618099
393,9791138013017
394,9791167901040
395,9791161951706
396,9788970123691
397,9788925591711
398,9788937460197
399,9788937460616
400,9791170400097
401,9791167370624
402,9788932023151
403,9788937486074
404,9788954641548
405,9772799628000
406,9788932034942
407,9788932024639
408,9788937460708
409,9788925561820
410,9788983927651
411,9788955824957
412,9788972758945
413,9788932038674
414,9788937461088
415,9788954620437
416,9788937462757
417,9791196254803
418,9788954685580
419,9788934977322
420,9791190157278
421,9788972759065
422,9788950995454
423,9791130618654
424,9791190669429
425,9791166686672
426,9788925589497
427,9791197021633
428,9791162244906
429,9788983927712
430,9788937472923
431,9788954648301
432,9791161902159
433,9788947548007
434,9788937463082
435,9788937463594
436,9788954645621
437,9791160940510
438,9788936424626
439,9788936424084
440,9791138503792
441,9791127864156
442,9791196632403
443,9791196484163
444,9788932039527
445,9788936438647
446,9788934900559
447,9788936438654
448,9788937409080
449,9788932039541
450,9788998417536
451,9788986836776
452,9791160272857
453,9788987175812
454,9791188554553
455,9791189571702
456,9791186536858
457,9791190337533
458,9791127862299
459,9788965965084
460,9791170400585
461,9791189943790
462,9791191719086
463,9788954675987
464,9791104911507
465,9788954620147
466,9788937488061
467,9788937460210
468,9788932317663
469,9791165215286
470,9791197063275
471,9791164389551
472,9788937407147
473,9791190885621
474,9788931003529
475,9788932909158
476,9788991799400
477,9788983927668
478,9791167900869
479,9788932906744
480,9788936506391
481,9788960532410
482,9788937485619
483,9788954682367
484,9788936424589
485,9788937461668
486,9791157955206
487,9791160261561
488,9791158887254
489,9791190749299
490,9788983927743
491,9791191174595
492,9788937464003
493,9791138409223
494,9791166255564
495,9791190174671
496,9788937408748
497,9788970126180
498,9791138503785
499,9788937408915
500,9788937463402
501,9791165701222
502,9791190749145
503,9788991813281
504,9788936438678
505,9791160402865
506,9788949714905
507,9791160407594
508,9791189943707
509,9788991291362
510,9788997466856
511,9788934941040
512,9788954683043
513,9771227093007
514,9791127864415
515,9788937444692
516,9791160749908
517,9791189171056
518,9788954448185
519,9788963716435
520,9791128835957
521,9788932034614
522,9791163163046
523,9791163163053
524,9791197182204
525,9788937479953
526,9788936434441
527,9788937473036
528,9788972754015
529,9788932920405
530,9788954617246
531,9788954609173
532,9791197461422
533,9788958560760
534,9788954680691
535,9788937460289
536,9788936437541
537,9788983927644
538,9791134850692
539,9788971992647
540,9788932316758
541,9788932024622
542,9788954681827
543,9788936437534
544,9788984317437
545,9788960177772
546,9788982738654
547,9788925554990
548,9788960907034
549,9788972757085
550,9788954655835
551,9791160402247
552,9788926718698
553,9788932909165
554,9788937473319
555,9788976041470
556,9791158886141
557,9788932912752
558,9788954607315
559,9788937460463
560,9788937460999
561,9788950995461
562,9788934996309
563,9788937463006
564,9788990220806
565,9788937460784
566,9791160404258
567,9791188028320
568,9788954650700
569,9791190669030
570,9791164668182
571,9788983927927
572,9791136401250
573,9791136401274
574,9791191718034
575,9788932039268
576,9791186825303
577,9788937429569
578,9788932909905
579,9791164452194
580,9791190157452
581,9791191247114
582,9791197798603
583,9791138501262
584,9791138407885
585,9791138012065
586,9791196036775
587,9788952738684
588,9791138408424
589,9791160407525
590,9791156411918
591,9791128853500
592,9791191910056
593,9791128836497
594,9788934949015
595,9791197040634
596,9791197040641
597,9788934975113
598,9791190669344
599,9791160272932
600,9791160870961
601,9788936438753
602,9791130690582
603,9791130819105
604,9788937473135
605,9791158887605
606,9791190885928
607,9788932921037
608,9788982819278
609,9791190224635
610,9788932918143
611,9788925579245
612,9788960304482
613,9788983927729
614,9791190885713
615,9791190582308
616,9788933801840
617,9788937460364
618,9788932038292
619,9788959758340
620,9788971847251
621,9791156334347
622,9788932038230
623,9788991290150
624,9788937462146
625,9791127863715
626,9788937462481
627,9788932026701
628,9788932029085
629,9788954616515
630,9788954613651
631,9791165508845
632,9791197072901
633,9791197030161
634,9788937463686
635,9788960177758
636,9791166812453
637,9788932909684
638,9788937463266
639,9788954624534
640,9788932321530
641,9788954675222
642,9788932920290
643,9788970127194
644,9788932015712
645,9791127844745
646,9791160401745
647,9788937460692
648,9788982735738
649,9788983927781
650,9791160400496
651,9791187271024
652,9788937463839
653,9791127858629
654,9791136401281
655,9788932029931
656,9788983927880
657,9788937441912
658,9788952760074
659,9791188907359
660,9788937461699
661,9791192333113
662,9788937472947
663,9788901237220
664,9788937444906
665,9788932912387
666,9788954642040
667,9791189467166
668,9788932031149
669,9791189467371
670,9788934974253
671,9788954639408
672,9788986836769
673,9788925579306
674,9788936423933
675,9791160077810
676,9788937472930
677,9791136574718
678,9791191826012
679,9788937479625
680,9791196125752
681,9788932322001
682,9791190977661
683,9791130689876
684,9788934961567
685,9788901259307
686,9791158883591
687,9788901259314
688,9791191401448
689,9791188754588
690,9791187444725
691,9788959893546
692,9791191183139
693,9791188331796
694,9788901259703
695,9791190977616
696,9791191056372
697,9791158512415
698,9791168340220
699,9791197549397
700,9791189143282
701,9791191328523
702,9788991204478
703,9788925536927
704,9788925578354
705,9791157845798
706,9791188754595
707,9791162541197
708,9788925566511
709,9788950900755
710,9791196851200
711,9791162542705
712,9788919205013
713,9788957825945
714,9791170433026
715,9791139701326
716,9791191043716
717,9791157845651
718,9788925588902
719,9791170433071
720,9791165799502
721,9791165219307
722,9791191311143
723,9791162542521
724,9788957821305
725,9791155814840
726,9791166570421
727,9791163060666
728,9791162541982
729,9791186152218
730,9791190977418
731,9791160023718
732,9791189352479
733,9791165343996
734,9791187799023
735,9791187799078
736,9791187799146
737,9791165344221
738,9791187799238
739,9791197673535
740,9788969525055
741,9791162540381
742,9788934981213
743,9788968333712
744,9791197646751
745,9791190916301
746,9788969525017
747,9788962604658
748,9791165219277
749,9788901227542
750,9791190977432
751,9791162542606
752,9791192372051
753,9791155420409
754,9788947547567
755,9788901230801
756,9791162542279
757,9788925578385
758,9788982732508
759,9791165344009
760,9791188754427
761,9788965183365
762,9791191347784
763,9791191334630
764,9791159099434
765,9791190865524
766,9791166570605
767,9791197001963
768,9791197617027
769,9791197828607
770,9788959893553
771,9791190276023
772,9791162542729
773,9791191904062
774,9791187799139
775,9791190149754
776,9791165344887
777,9788901260358
778,9791160023176
779,9788901255712
780,9791192072418
781,9791190024433
782,9788950900564
783,9791191521139
784,9791165210144
785,9788995921746
786,9791130637037
787,9791155811856
788,9791188096923
789,9791166570636
790,9791165216603
791,9791164408580
792,9791162541869
793,9788959893560
794,9791165218140
795,9791165218638
796,9791166832116
797,9791192143255
798,9788957365793
799,9788997287093
800,9791187444213
801,9791197631658
802,9791168320093
803,9791191328530
804,9791197550430
805,9788925588636
806,9791195570850
807,9788968333422
808,9788947546294
809,9791139700114
810,9788925553375
811,9791190024327
812,9788972917649
813,9791166832581
814,9788986022537
815,9791191211467
816,9791190242271
817,9791130640600
818,9791187799016
819,9788925579313
820,9788991998568
821,9791186152201
822,9791162245439
823,9788927812869
824,9791192072487
825,9791190977265
826,9791189580575
827,9788947546980
828,9791188626007
829,9791157746972
830,9791155812594
831,9791187799115
832,9791164841356
833,9791130680750
834,9791195446551
835,9791160808469
836,9791192143217
837,9788992647595
838,9791135469442
839,9791197627507
840,9788964359020
841,9788991998018
842,9788926396780
843,9791188754564
844,9791156759430
845,9788965964797
846,9788925563305
847,9791191328363
848,9791190977579
849,9791190616560
850,9788947544306
851,9788992492058
852,9788955336306
853,9791165218898
854,9791197772849
855,9788979662221
856,9791192312057
857,9791165219703
858,9788959897001
859,9791160022988
860,9791187481720
861,9788901222660
862,9788934935605
863,9791195936380
864,9791170432821
865,9791158392956
866,9791157747153
867,9788947547307
868,9788937442810
869,9791190555319
870,9788969525048
871,9791197120978
872,9791196339012
873,9791165219482
874,9791188194353
875,9791165457242
876,9791130689135
877,9791190977326
878,9788960305939
879,9791191334418
880,9788925564289
881,9788986022421
882,9791162540466
883,9788947542586
884,9788990831279
885,9791164842919
886,9791188348800
887,9788947548014
888,9791186978511
889,9791165219130
890,9791191334685
891,9791185272931
892,9791197625053
893,9788972773627
894,9791187170419
895,9791165795788
896,9791187799177
897,9791190776615
898,9788947545143
899,9791197617003
900,9791162244777
901,9791197772801
902,9788925556826
903,9791190977593
904,9788991998445
905,9788925578750
906,9788955336047
907,9791189328597
908,9791167961037
909,9791168411449
910,9788955867183
911,9788991378025
912,9791188754489
913,9791162541029
914,9791165920111
915,9788965701354
916,9791190826990
917,9791188754007
918,9791197220500
919,9791188754168
920,9791191183009
921,9788960542891
922,9791188167265
923,9791165218867
924,9788956768915
925,9788950900229
926,9791192143071
927,9791162542743
928,9788935213788
929,9791191975048
930,9788994643939
931,9788925579108
932,9788965023166
933,9788925579092
934,9791192372013
935,9791197845802
936,9788931466119
937,9791190242516
938,9791189352424
939,9791196119584
940,9788965707691
941,9788901098272
942,9791157842636
943,9791165215347
944,9788981332686
945,9791196630430
946,9788991378117
947,9791196524463
948,9788927808121
949,9788960305885
950,9788965707820
951,9791187993940
952,9791190665629
953,9791187142454
954,9791186116333
955,9788983797391
956,9791191248555
957,9791130637136
958,9791188279678
959,9791190877565
960,9791165218423
961,9791159318108
962,9791161340333
963,9788925536798
964,9791192143095
965,9791130601304
966,9791188230624
967,9791192143101
968,9791191484090
969,9788988964569
970,9788963248486
971,9791190917087
972,9791197829802
973,9791168122758
974,9791189352530
975,9791159733031
976,9791189969813
977,9788901054889
978,9788960514065
979,9791190238762
980,9791196073107
981,9788901249605
982,9788935212224
983,9788996885580
984,9788959406265
985,9791187799122
986,9788996222682
987,9791187993995
988,9788947547901
989,9791160508673
990,9791158392369
991,9788965964803
992,9791168122178
993,9791196509460
994,9791165796723
995,9788957822043
996,9791155814543
997,9791160072518
998,9791191636154
999,9791191347616
1000,9791186588994
1001,9791188314898
1002,9788934961734
1003,9788926887066
1004,9791155718346
1005,9791191517163
1006,9791195445059
1007,9791190238786
1008,9788973435432
1009,9791197536021
1010,9791191464924
1011,9791197673559
1012,9788947548205
1013,9788947547963
1014,9791196831080
1015,9791191360196
1016,9788947547079
1017,9788925599632
1018,9788965706908
1019,9788962600568
1020,9788965963790
1021,9788998342500
1022,9791191056990
1023,9788991378261
1024,9791130635873
1025,9791157845446
1026,9791157062157
1027,9788901248684
1028,9791195887392
1029,9791189995560
1030,9788934966760
1031,9788934989790
1032,9791168210097
1033,9791135490798
1034,9788990994004
1035,9791168120518
1036,9791185455174
1037,9791187993957
1038,9791188279951
1039,9788994491950
1040,9788984291638
1041,9788957821121
1042,9791165795672
1043,9791188754410
1044,9791189040468
1045,9791166570315
1046,9791186499153
1047,9788991378193
1048,9791188621484
1049,9791187383659
1050,9791167700179
1051,9791191521092
1052,9788956253749
1053,9791168320109
1054,9791187882015
1055,9791165344771
1056,9791191328455
1057,9791190224314
1058,9791157845699
1059,9791161756189
1060,9791189249519
1061,9791158393212
1062,9791159318078
1063,9791164843947
1064,9788980975624
1065,9788928727025
1066,9791189686420
1067,9791129708946
1068,9788950900571
1069,9788993784749
1070,9791192143262
1071,9788994981925
1072,9788992561761
1073,9788901246086
1074,9791130634432
1075,9788962624045
1076,9791167140210
1077,9791156758662
1078,9791130633619
1079,9788991998827
1080,9788982732645
1081,9791191328394
1082,9788962605815
1083,9788965700890
1084,9788995894576
1085,9788984079748
1086,9788983798060
1087,9791188279463
1088,9791158885342
1089,9791190242899
1090,9791188754083
1091,9791191425604
1092,9788901092942
1093,9788926396902
1094,9788989824565
1095,9791191378047
1096,9791160023565
1097,9788901255477
1098,9791162540947
1099,9791188279838
1100,9788957932018
1101,9788932471280
1102,9791189909208
1103,9791188279241
1104,9791188314393
1105,9791160075878
1106,9788965706540
1107,9791157687251
1108,9788968480690
1109,9791192229003
1110,9791195788583
1111,9788925589909
1112,9791157842728
1113,9791188754113
1114,9788972773511
1115,9788947547031
1116,9791188754205
1117,9788957821336
1118,9791170431688
1119,9791130621746
1120,9788962620283
1121,9788947547956
1122,9791170431978
1123,9791189168193
1124,9788960516786
1125,9788956594392
1126,9791164842414
1127,9791157068647
1128,9791165218737
1129,9791165219062
1130,9791191347715
1131,9791197485510
1132,9788960516465
1133,9791191334128
1134,9791163060598
1135,9791192143149
1136,9788997924967
1137,9791165798987
1138,9791197603631
1139,9791191560176
1140,9791191464870
1141,9791191607208
1142,9791139203868
1143,9788934907909
1144,9791168013049
1145,9791130689128
1146,9791197819513
1147,9791165921507
1148,9791197516535
1149,9791168090262
1150,9791164844098
1151,9788947548182
1152,9791165219574
1153,9788947548151
1154,9788986022544
1155,9791191393163
1156,9791165214975
1157,9791188754366
1158,9791162542408
1159,9788998075712
1160,9791197001932
1161,9791187444282
1162,9791185392998
1163,9788937432231
1164,9788984077560
1165,9791189584887
1166,9788960173507
1167,9788901251684
1168,9791197251412
1169,9791190124003
1170,9788957821923
1171,9791165342159
1172,9791160507812
1173,9791160502312
1174,9788990831057
1175,9788991998186
1176,9791165217495
1177,9788952226792
1178,9788997453665
1179,9791186358788
1180,9788974256494
1181,9788991186279
1182,9791196119553
1183,9791168210141
1184,9791190259170
1185,9791191211207
1186,9788996032069
1187,9788990831767
1188,9791188279890
1189,9791197550409
1190,9791187400332
1191,9791162243558
1192,9788952775801
1193,9791168340169
1194,9788947544276
1195,9788957820711
1196,9788984059719
1197,9788935212187
1198,9791188469895
1199,9791130634579
1200,9788977707078
1201,9791190665162
1202,9791189936280
1203,9791160361445
1204,9791160074932
1205,9788970417486
1206,9791190877084
1207,9788964944806
1208,9788955336214
1209,9788925579627
1210,9791162244531
1211,9791190356299
1212,9788950999391
1213,9788925589237
1214,9791186245170
1215,9791130637358
1216,9788992711463
1217,9791190977630
1218,9791190819039
1219,9788947547918
1220,9791185553672
1221,9791197631665
1222,9791130303888
1223,9788925589879
1224,9788925589893
1225,9788980974450
1226,9791191328448
1227,9788925589886
1228,9791188621606
1229,9791190955584
1230,9788950996710
1231,9791186647868
1232,9791188209620
1233,9788998075620
1234,9791164842346
1235,9791188279074
1236,9791164843824
1237,9788925561226
1238,9791186647813
1239,9791163060581
1240,9791166832505
1241,9791189895020
1242,9791164842353
1243,9788950900212
1244,9791165219222
1245,9791164843008
1246,9791190122160
1247,9788960883956
1248,9788965023142
1249,9788992119863
1250,9791191904154
1251,9788928727018
1252,9791139104448
1253,9791159313172
1254,9791161756332
1255,9791190865630
1256,9791197464720
1257,9791165219567
1258,9788963475042
1259,9791167521460
1260,9791163033547
1261,9791191347180
1262,9791190242868
1263,9788925588667
1264,9791135422225
1265,9791191056334
1266,9791186560433
1267,9791130620893
1268,9791130632032
1269,9791195813865
1270,9788960860292
1271,9791191328462
1272,9791130625867
1273,9791160573091
1274,9791159099878
1275,9788937604478
1276,9791165210519
1277,9791190313858
1278,9791197431661
1279,9791168210028
1280,9788987671314
1281,9791187481607
1282,9788991204690
1283,9788991378032
1284,9788937603600
1285,9791155642238
1286,9788996885511
1287,9788969524461
1288,9788935213269
1289,9788998342296
1290,9791188279210
1291,9791157845569
1292,9791157685301
1293,9788990247674
1294,9788991998162
1295,9791187799030
1296,9791188279128
1297,9788991204768
1298,9791187142867
1299,9791170430308
1300,9791162540480
1301,9791135436338
1302,9791165218072
1303,9791197629105
1304,9791195612208
1305,9788934993049
1306,9788966260577
1307,9788937834646
1308,9788932474403
1309,9788925565163
1310,9788925581224
1311,9791170432760
1312,9791170432050
1313,9788925589206
1314,9788989806509
1315,9791190877442
1316,9791191904109
1317,9788947547338
1318,9791188279593
1319,9791196608811
1320,9791188279098
1321,9791191328233
1322,9791191347265
1323,9788947526975
1324,9791163430162
1325,9788901258218
1326,9791191464559
1327,9791188314904
1328,9791170431770
1329,9791160508451
1330,9791170432661
1331,9791191636192
1332,9791188348978
1333,9788957751923
1334,9788980975051
1335,9791197074684
1336,9791157061235
1337,9791191600698
1338,9791197673511
1339,9791187311249
1340,9788960305908
1341,9788968333637
1342,9791160509977
1343,9791188279029
1344,9791160077780
1345,9788974187354
1346,9791162541609
1347,9788965705246
1348,9791191587111
1349,9791189909109
1350,9791197599408
1351,9788934970347
1352,9791162245316
1353,9788969524980
1354,9788960305472
1355,9788973435418
1356,9788996937432
1357,9788947547871
1358,9791186659977
1359,9788961952842
1360,9791197563645
1361,9788950994600
1362,9791160944501
1363,9791190732031
1364,9788993178814
1365,9791186588307
1366,9788991998223
1367,9788947545471
1368,9791191904130
1369,9788959796335
1370,9791168270282
1371,9791190819145
1372,9791187440949
1373,9791189327156
1374,9791155814673
1375,9788983711892
1376,9788932473901
1377,9788962624304
1378,9791167740342
1379,9791164137411
1380,9791155814512
1381,9788934943600
1382,9791197413025
1383,9788962622508
1384,9791165215842
1385,9788934961741
1386,9791167960221
1387,9788962630619
1388,9788960518025
1389,9791165210991
1390,9791190030540
1391,9791156757344
1392,9791159922251
1393,9788955614107
1394,9791160560510
1395,9788972917113
1396,9791189198862
1397,9791165219734
1398,9791192085104
1399,9791164051519
1400,9791165215491
1401,9791191187311
1402,9788932921365
1403,9788962622713
1404,9772383984000
1405,9791159920257
1406,9788934990307
1407,9791186560785
1408,9788965400912
1409,9788934988342
1410,9788950900151
1411,9788983711540
1412,9788983718914
1413,9788934986942
1414,9788950991913
1415,9788958207665
1416,9788984079717
1417,9788984011861
1418,9791130641423
1419,9791189550622
1420,9791189722531
1421,9788991232730
1422,9788987527598
1423,9791190779524
1424,9788934961758
1425,9791168122956
1426,9788986698824
1427,9791156758730
1428,9791164051335
1429,9788983711922
1430,9791190488198
1431,9788934968665
1432,9788971991619
1433,9791165218935
1434,9788971671634
1435,9788983717436
1436,9788993690552
1437,9791191214925
1438,9788952773326
1439,9788965708063
1440,9788901256603
1441,9791164842940
1442,9788901254531
1443,9788994418513
1444,9788932919584
1445,9788995141588
1446,9791161727783
1447,9791158511418
1448,9791165219451
1449,9788986361438
1450,9791187295501
1451,9788958200789
1452,9791186900864
1453,9791159922510
1454,9788983717412
1455,9791166890819
1456,9791185954868
1457,9791189346263
1458,9788984079816
1459,9788954677257
1460,9791155401651
1461,9788962624151
1462,9791189799366
1463,9791188635108
1464,9788955883404
1465,9788994054278
1466,9791187147589
1467,9788947545150
1468,9788983718372
1469,9788983718884
1470,9788934984689
1471,9791196219314
1472,9791156758419
1473,9788994750958
1474,9791196688394
1475,9788952751546
1476,9791135462252
1477,9788964620878
1478,9791155811887
1479,9791188850624
1480,9788958612131
1481,9788997137305
1482,9791168220591
1483,9791159920967
1484,9788965964636
1485,9788983719201
1486,9788987527376
1487,9788958206033
1488,9788934979517
1489,9791191775013
1490,9791197258268
1491,9788962620580
1492,9788986022520
1493,9791165213732
1494,9788931465556
1495,9788952113023
1496,9791188544325
1497,9791188850969
1498,9788955924558
1499,9791157844241
1500,9788988907283
1501,9791188850808
1502,9788965703112
1503,9788988907733
1504,9791188248926
1505,9791156758174
1506,9791160075755
1507,9788931455625
1508,9791159920059
1509,9788956602189
1510,9788950998189
1511,9788968333217
1512,9791191187328
1513,9788932321578
1514,9791166890499
1515,9788960907263
1516,9791163635550
1517,9788952129611
1518,9791157686773
1519,9791189799663
1520,9791165797195
1521,9788955378887
1522,9788962624236
1523,9791166890802
1524,9788962621778
1525,9791196999292
1526,9788991136373
1527,9791187949053
1528,9791164500444
1529,9791187064794
1530,9788964945483
1531,9788946073661
1532,9788937837654
1533,9788983712073
1534,9791190179874
1535,9791188941445
1536,9791160806595
1537,9791165218386
1538,9788950979959
1539,9791190313919
1540,9788994418568
1541,9791186440742
1542,9791185415352
1543,9791187150350
1544,9791160407747
1545,9788960518780
1546,9788958203919
1547,9791168012066
1548,9788955889369
1549,9791161960395
1550,9788983712042
1551,9788958625957
1552,9791196837280
1553,9791161960760
1554,9788934988397
1555,9791165219154
1556,9791189799229
1557,9791196155636
1558,9791191842159
1559,9791189895037
1560,9788972914358
1561,9788962622584
1562,9791185439068
1563,9788972917564
1564,9791190116619
1565,9788960519107
1566,9788934981732
1567,9791159713941
1568,9791165219406
1569,9791159714269
1570,9788950993016
1571,9788934989653
1572,9788901147093
1573,9788972915546
1574,9791155813744
1575,9788990048820
1576,9791189995997
1577,9788932917658
1578,9791191013122
1579,9791130637112
1580,9788952227294
1581,9788983716897
1582,9791130679068
1583,9791191311020
1584,9791164050727
1585,9788955883398
1586,9791187313441
1587,9791167740250
1588,9788983711830
1589,9788994418537
1590,9788979869354
1591,9788962620764
1592,9791156758082
1593,9791156758969
1594,9788958207207
1595,9791164051403
1596,9788950998608
1597,9788954625043
1598,9791158880750
1599,9788947547765
1600,9788925536934
1601,9788998853297
1602,9788934941439
1603,9788934949213
1604,9788965746799
1605,9788962621259
1606,9791155900857
1607,9788972913344
1608,9791156644972
1609,9788984078055
1610,9791190467100
1611,9791190147712
1612,9788998439958
1613,9788964945131
1614,9791165218188
1615,9791157687947
1616,9788964945315
1617,9788920992407
1618,9788991232815
1619,9791165215613
1620,9788993178234
1621,9791156757825
1622,9791155901540
1623,9791161961040
1624,9788958206927
1625,9788965822905
1626,9791159257278
1627,9788962632378
1628,9788950980719
1629,9788984686373
1630,9788931589665
1631,9791190812399
1632,9791187511274
1633,9791197404320
1634,9791162851166
1635,9791164050819
1636,9788960179110
1637,9788983710444
1638,9788962623925
1639,9788988907412
1640,9788962623505
1641,9791165343422
1642,9788950995492
1643,9788983717542
1644,9791159252969
1645,9791166890147
1646,9791166890703
1647,9788965962359
1648,9791186710555
1649,9791156333074
1650,9788955617085
1651,9788984011656
1652,9788997379057
1653,9791156644910
1654,9788960869738
1655,9788955965254
1656,9788956633008
1657,9791189909376
1658,9791190178693
1659,9788955378412
1660,9791187572053
1661,9791162263044
1662,9788935701377
1663,9788997137442
1664,9791168340121
